uba_field_name,cim_field_name,required
alarmCategories,"No CIM field equivalent. Instead, enumerate one or more categories in Splunk UBA. Separate multiple categories with a comma.",Y
riskClassification,severity,Y
externalAction,action,Y
bytesReceived,bytes_in,N
bytesSent,bytes_out,N
bytesTransmitted,bytes,N
sourceIp,src_ip,Y
sourceDns,src_host,N
sourcePort,src_port,N
destinationIp,dest_ip,Y
destinationDns,dest_host,N
destinationPort,dest_port,N
duration,duration,N
srcUser,user,N
category,category,N
<>,ids_type,N
evcls,eventtype,Y
